n,Lambda,Condition,Lambda_2,Covariate Condition
500,0.001,106.39733116993924,0.01,48.61092099557976
504,0.001,105.8516538179015,0.01,52.11836818000392
509,0.001,117.90007144081402,0.01,51.45647073935843
514,0.001,119.03973298857181,0.01,51.93028331935433
519,0.001,112.56126588040661,0.01,51.73143855465823
524,0.001,117.98636417401487,0.01,53.39694756279758
529,0.001,112.4831225110271,0.01,51.6738003990629
533,0.001,105.75778944156882,0.01,49.18835167136608
538,0.001,99.68754075118417,0.01,47.948099485389285
543,0.001,114.01794882341419,0.01,51.032496040910466
548,0.001,107.63865229961111,0.01,50.07376715349652
553,0.001,105.90530447928691,0.01,51.0213413475691
558,0.001,108.5781113526751,0.0076315789473684215,65.12691267612456
562,0.001,103.63599777044092,0.01,49.76755908033567
567,0.001,110.96820296607706,0.01,50.45267621947616
572,0.001,108.12466387554599,0.01,49.887971175830806
577,0.0009052631578947369,127.47088654130347,0.01,51.913584470059746
582,0.001,107.11279347731589,0.008105263157894737,63.4043287341643
587,0.001,118.52803564272993,0.0076315789473684215,68.77823165221567
591,0.001,107.0317614955858,0.01,49.73968322451985
596,0.001,114.46477131013549,0.01,50.84939330364488
601,0.0007631578947368421,142.20944407926126,0.009052631578947368,56.18549157448559
606,0.001,101.3121577841224,0.01,48.848511893516154
611,0.001,108.09778291914253,0.009526315789473685,53.63314404144303
616,0.001,103.45529083350618,0.009052631578947368,54.763413328731566
620,0.001,109.28107653630343,0.009052631578947368,55.67794321819393
625,0.0009052631578947369,118.24207917667816,0.003842105263157895,129.19611818899335
630,0.0009052631578947369,119.94071878440681,0.01,50.6517498987859
635,0.001,109.27946370141002,0.01,50.4936938247486
640,0.001,112.92938513381665,0.009526315789473685,52.694912081183226
645,0.0009052631578947369,114.73702256783238,0.006684210526315789,75.0791413745223
649,0.001,108.03740824767125,0.01,50.2624627235772
654,0.001,110.36216549095204,0.01,51.078570779929855
659,0.0006210526315789473,178.05369090519665,0.01,51.04593341198237
664,0.001,107.61989339777261,0.008578947368421052,59.1265730866749
669,0.001,114.83067328429823,0.01,50.121071773175046
674,0.0007631578947368421,141.02225285957815,0.007157894736842105,68.39561459514255
678,0.001,110.4072785423587,0.009052631578947368,56.14842860516599
683,0.001,107.74590267865776,0.01,50.26982005015318
688,0.001,110.151812733792,0.01,50.19748106093919
693,0.0008578947368421052,135.66992867741646,0.009526315789473685,53.663026653827565
698,0.001,109.37142374500297,0.009526315789473685,51.625979163928335
703,0.0008578947368421052,126.1865954182598,0.008105263157894737,62.55419939420645
707,0.0008578947368421052,134.2737364561629,0.009052631578947368,56.34918406052694
712,0.0009526315789473685,108.64258361392818,0.01,50.48680535961807
717,0.001,113.75708990845577,0.009526315789473685,53.324087381363725
722,0.001,104.17126332287671,0.008578947368421052,55.80094677552869
727,0.001,114.87511093449702,0.009526315789473685,52.92938810944031
732,0.0009052631578947369,116.75169306199604,0.008105263157894737,61.6403998618595
736,0.001,115.04909374961146,0.006210526315789474,81.8337701222043
741,0.001,113.33581066989778,0.007157894736842105,72.17767144784614
746,0.001,119.36508078754598,0.01,52.54653088669862
751,0.001,108.40020764577594,0.005263157894736842,94.683905615798
756,0.001,114.17318829956089,0.009526315789473685,53.344375078118574
761,0.0007631578947368421,140.38452971218658,0.006684210526315789,74.2188421896755
765,0.001,108.99496357662703,0.009526315789473685,52.59117554948776
770,0.001,105.33028365790963,0.0076315789473684215,64.82015896366309
775,0.0009052631578947369,124.04388743123042,0.008578947368421052,60.65658065519728
780,0.001,112.80745047235911,0.008578947368421052,60.32348533938292
785,0.001,113.34673021968145,0.0076315789473684215,66.66065237226826
790,0.001,110.52410346286855,0.008578947368421052,59.72956715706183
794,0.0008105263157894737,138.57079635153758,0.009526315789473685,53.730214580564926
799,0.001,110.17323559720079,0.005263157894736842,95.61434355574498
804,0.0007631578947368421,150.7753210180956,0.006684210526315789,76.44516824451898
809,0.001,110.9591586553042,0.01,49.942027237347205
814,0.0007631578947368421,147.67933530595732,0.0076315789473684215,65.04346039039797
819,0.001,108.52687438075478,0.009052631578947368,54.203754436277045
823,0.001,110.75667709213099,0.006684210526315789,74.16862073968294
828,0.0008105263157894737,133.90601992895805,0.007157894736842105,69.25707952051425
833,0.0009526315789473685,117.73247828035076,0.0033684210526315787,148.90276280119787
838,0.0008105263157894737,142.07082423572885,0.01,52.27381436969322
843,0.001,111.12781766638133,0.008578947368421052,59.285173742726506
848,0.001,107.5902948656344,0.0076315789473684215,65.10660786016679
853,0.001,112.8945455099812,0.005736842105263158,88.63620501261181
857,0.001,107.34842344707613,0.00431578947368421,113.67809145287991
862,0.001,111.92448841157464,0.008578947368421052,59.22455647097613
867,0.0008578947368421052,125.86733749934575,0.007157894736842105,69.7243912680098
872,0.0008578947368421052,127.59754325024092,0.0076315789473684215,66.94194730087166
877,0.0006210526315789473,181.3153977038157,0.0076315789473684215,66.37230324525335
882,0.0008105263157894737,135.84649500841306,0.007157894736842105,71.70101717522772
886,0.0007157894736842105,149.10278993836872,0.008578947368421052,57.435256319623676
891,0.001,113.21759500230965,0.003842105263157895,130.3632026838079
896,0.001,112.18837775583644,0.005263157894736842,97.74449657371356
901,0.001,113.93714172555562,0.007157894736842105,71.38606714235463
906,0.001,114.21339642883974,0.004789473684210526,108.23878726946582
911,0.0008578947368421052,125.05066952944263,0.0076315789473684215,64.69848696903367
915,0.0008578947368421052,123.39255177415006,0.009052631578947368,54.85099937173897
920,0.0008578947368421052,129.69870304763646,0.0076315789473684215,66.29157539482775
925,0.001,111.53814006828567,0.006684210526315789,76.70869860803955
930,0.0007631578947368421,146.1686073023887,0.008105263157894737,62.805111874125124
935,0.0007157894736842105,153.9256393964001,0.008578947368421052,57.70016657183937
940,0.0008105263157894737,128.28249339069367,0.0076315789473684215,65.55222419169972
944,0.0007157894736842105,157.63116733705266,0.008578947368421052,60.091299869303434
949,0.0007631578947368421,148.33851451073966,0.006210526315789474,80.7628635455053
954,0.001,113.543852950528,0.0076315789473684215,67.49314010668266
959,0.000668421052631579,169.40631439193595,0.007157894736842105,69.29500001539571
964,0.000668421052631579,166.45077581805626,0.005736842105263158,87.71558413003562
969,0.001,103.96911090513058,0.006684210526315789,73.08270209274951
973,0.0009052631578947369,123.09365736873661,0.00431578947368421,119.64693702192203
978,0.0007157894736842105,148.5807617262123,0.006684210526315789,73.92472409023925
983,0.0008578947368421052,129.59757116771925,0.0076315789473684215,66.86016311186815
988,0.0005736842105263159,196.97235562609706,0.007157894736842105,71.10346584950138
993,0.0008578947368421052,125.47024680297066,0.005263157894736842,94.58086822833485
998,0.000668421052631579,170.99569995567245,0.003842105263157895,133.39796068842094
1002,0.0008578947368421052,121.48524238555066,0.005736842105263158,85.33754440619488
1007,0.0005736842105263159,192.31783185728054,0.006210526315789474,81.5061471862718
1012,0.0007631578947368421,145.12095196132233,0.007157894736842105,70.6031335980336
1017,0.0007631578947368421,143.38514536311914,0.006684210526315789,75.75190564795875
1022,0.000668421052631579,168.89412350951278,0.006210526315789474,81.97324065598208
1027,0.000668421052631579,163.21384767545123,0.00431578947368421,116.54001158297253
1031,0.0007631578947368421,142.92982519213757,0.005736842105263158,85.99252342052543
1036,0.0007157894736842105,156.00035878767338,0.006210526315789474,83.079430230916
1041,0.0006210526315789473,177.34018941675575,0.004789473684210526,105.45940728059999
1046,0.0009052631578947369,119.68270452553358,0.007157894736842105,68.11698425616972
1051,0.000668421052631579,166.98062756302448,0.006684210526315789,75.31618836988243
1056,0.0007631578947368421,148.09292042201346,0.005263157894736842,95.7268167539918
1060,0.0007631578947368421,144.33831995462273,0.007157894736842105,70.31819341000659
1065,0.0008105263157894737,137.63855293278135,0.005263157894736842,96.70260045164532
1070,0.0005736842105263159,193.91171407899174,0.00431578947368421,116.22525076248102
1075,0.0007157894736842105,149.4913556162254,0.006684210526315789,73.1785837292996
1080,0.0007157894736842105,155.1099544099537,0.00431578947368421,116.41689763879684
1085,0.0007157894736842105,154.21037733155077,0.005263157894736842,95.1595244708423
1089,0.0008578947368421052,130.8404330033826,0.0076315789473684215,66.70333219444693
1094,0.00047894736842105264,223.82135221519127,0.008105263157894737,61.754304855313585
1099,0.0008105263157894737,144.83413935316693,0.007157894736842105,71.54577962289432
1104,0.0008105263157894737,139.2838793029639,0.0076315789473684215,66.99533474234282
1109,0.0006210526315789473,180.85434323880077,0.005736842105263158,88.91774402403193
1114,0.0006210526315789473,171.8967377671072,0.005736842105263158,86.97118790272718
1118,0.000668421052631579,166.18827696023664,0.006210526315789474,80.62709147671747
1123,0.0007631578947368421,150.8971809657367,0.006210526315789474,82.45057503359973
1128,0.0005736842105263159,201.12193397731284,0.00431578947368421,117.49466794399656
1133,0.000668421052631579,161.17664390883786,0.004789473684210526,103.1505787104309
1138,0.0007631578947368421,148.00258852174224,0.007157894736842105,71.52706719518055
1143,0.000668421052631579,160.9805468288208,0.003842105263157895,130.05806741598047
1147,0.0006210526315789473,176.53319470406348,0.005263157894736842,95.22786836206909
1152,0.0006210526315789473,175.64477935789438,0.005736842105263158,88.01715088614672
1157,0.0008105263157894737,137.29068871765188,0.005263157894736842,96.35959609960034
1162,0.0005263157894736842,211.04851960746868,0.006210526315789474,80.27934584183485
1167,0.0009052631578947369,122.9023136621117,0.0076315789473684215,65.50363015187276
1172,0.000668421052631579,161.49734843661003,0.004789473684210526,103.91660240592837
1176,0.000668421052631579,167.75514465749512,0.006684210526315789,76.39091309377017
1181,0.0005736842105263159,192.16242294524827,0.0028947368421052624,173.26132657725304
1186,0.0007631578947368421,150.0700648316035,0.005736842105263158,87.9551227459792
1191,0.0005736842105263159,183.13049564253453,0.003842105263157895,129.2037215054553
1196,0.0004315789473684211,261.1881469663286,0.005263157894736842,95.7369330345906
1201,0.0007157894736842105,156.00431694007125,0.006684210526315789,77.47770379794268
1206,0.0006210526315789473,174.48101138360235,0.007157894736842105,69.79572787988587
1210,0.0007157894736842105,152.58651612556443,0.005263157894736842,95.04975580286266
1215,0.000668421052631579,161.95576596160467,0.006210526315789474,80.22038192820371
1220,0.0006210526315789473,174.49499676998457,0.005736842105263158,87.10385151541755
1225,0.000668421052631579,172.47122378405385,0.005263157894736842,96.3019154300041
1230,0.0006210526315789473,177.06702778631302,0.004789473684210526,103.99104129237234
1235,0.0008105263157894737,135.56604805113298,0.004789473684210526,103.05931427626727
1239,0.0005736842105263159,197.7752385977938,0.005736842105263158,88.23086345942626
1244,0.0004315789473684211,253.18797987271458,0.004789473684210526,102.08334819372455
1249,0.0008578947368421052,127.51119706843222,0.004789473684210526,104.78353654223811
1254,0.0008105263157894737,130.45034860985854,0.004789473684210526,103.24217905337186
1259,0.0005263157894736842,217.52756189593103,0.004789473684210526,106.32644967315474
1264,0.0008578947368421052,129.76487501328248,0.005736842105263158,87.22771449419804
1268,0.0005736842105263159,189.38411478983653,0.004789473684210526,104.05711250809311
1273,0.0005263157894736842,211.33258258840638,0.005736842105263158,87.64964945610879
1278,0.000668421052631579,160.1199632157683,0.005263157894736842,94.54417631470909
1283,0.0005263157894736842,206.50920742415175,0.005263157894736842,95.76252890693164
1288,0.0005263157894736842,207.00730671578242,0.005263157894736842,95.05212886856854
1293,0.0007631578947368421,138.9001965279566,0.003842105263157895,129.28814125127954
1297,0.0005736842105263159,196.349721334908,0.005263157894736842,97.5130071459346
1302,0.0007157894736842105,150.61648608262024,0.005263157894736842,93.67066294482309
1307,0.000668421052631579,161.51567758216066,0.005736842105263158,86.20241898632146
1312,0.0005736842105263159,192.83593604957443,0.004789473684210526,104.43119207354901
1317,0.0005736842105263159,192.2702014853389,0.005263157894736842,93.05202420481001
1322,0.000668421052631579,164.46109487410823,0.00431578947368421,118.13871005177975
1326,0.0005736842105263159,197.15440098440604,0.006210526315789474,80.22113334739696
1331,0.0003842105263157895,281.22512141744306,0.0033684210526315787,147.2547834173927
1336,0.0008105263157894737,134.13356415782573,0.003842105263157895,128.8930930616799
1341,0.0006210526315789473,177.0771217373214,0.005263157894736842,95.13756736445347
1346,0.000668421052631579,165.13323421935365,0.001,503.760898089867
1351,0.00047894736842105264,233.26652468818423,0.005736842105263158,87.17465565421342
1355,0.0005736842105263159,192.83244776475328,0.005736842105263158,87.00692696865315
1360,0.0005736842105263159,184.9014622555659,0.004789473684210526,102.29721472134
1365,0.0007631578947368421,145.28454929472318,0.005736842105263158,87.6281695449333
1370,0.0005263157894736842,209.42970809686642,0.0033684210526315787,150.19726396531712
1375,0.0005736842105263159,190.08409079699987,0.003842105263157895,130.96522421679427
1380,0.0006210526315789473,181.94594300021862,0.00431578947368421,117.29719760640793
1384,0.0005263157894736842,206.91456673128522,0.003842105263157895,130.7920960374399
1389,0.0005736842105263159,194.47095300967607,0.003842105263157895,129.64685353991558
1394,0.0007157894736842105,154.05504994069545,0.005263157894736842,94.96777171442496
1399,0.0005736842105263159,184.14730768007183,0.004789473684210526,104.3382521650464
1404,0.00047894736842105264,231.64490211212652,0.004789473684210526,103.22970663637223
1409,0.000668421052631579,163.35290498529224,0.00431578947368421,116.61308217823357
1413,0.0007157894736842105,150.18179091192704,0.003842105263157895,127.56011790896238
1418,0.0005736842105263159,187.72510508304725,0.005263157894736842,94.60107124235027
1423,0.0005736842105263159,195.03491451984002,0.005736842105263158,87.95724914171113
1428,0.0005736842105263159,195.3045031989869,0.002421052631578947,207.01347778902536
1433,0.0005263157894736842,211.25919063423578,0.0033684210526315787,150.883328808682
1438,0.0006210526315789473,178.33890124178856,0.003842105263157895,129.9527872260935
1442,0.0005736842105263159,192.7883282617731,0.00431578947368421,116.43333704257425
1447,0.0006210526315789473,177.03429316241557,0.004789473684210526,106.38841760248214
1452,0.000668421052631579,165.29429968118524,0.0033684210526315787,146.6760202794807
1457,0.0006210526315789473,174.49497334926255,0.0019473684210526317,253.3194395628198
1462,0.000668421052631579,165.16498780708505,0.005263157894736842,96.4205969934301
1467,0.0005263157894736842,214.19201903057711,0.00431578947368421,117.61719522835605
1471,0.00047894736842105264,232.25293116536656,0.00431578947368421,117.51671635295341
1476,0.00047894736842105264,231.79896480874535,0.004789473684210526,103.44223472052657
1481,0.0005263157894736842,200.1769849172636,0.005263157894736842,94.94429929878407
1486,0.0005736842105263159,188.08630420610532,0.004789473684210526,103.44149732955617
1491,0.0005263157894736842,208.70927859217127,0.00431578947368421,114.90207657882247
1496,0.0006210526315789473,172.69027121899282,0.004789473684210526,103.97885757932426
1500,0.0004315789473684211,255.0802226768083,0.004789473684210526,104.10425962822455
1505,0.0005263157894736842,212.1760877593604,0.003842105263157895,131.2850653725247
1510,0.0005263157894736842,209.70039239858767,0.003842105263157895,132.55358166888738
1515,0.00047894736842105264,233.67779532498406,0.004789473684210526,104.73363653787052
1520,0.0005736842105263159,191.11683376885696,0.004789473684210526,104.1362904957784
1525,0.000668421052631579,159.72173264120013,0.004789473684210526,104.31404600914593
1529,0.0005736842105263159,185.32274509168622,0.0028947368421052624,172.72515538220435
1534,0.0005263157894736842,206.56291974168784,0.0028947368421052624,172.6184273387398
1539,0.0006210526315789473,182.57048496311768,0.003842105263157895,132.69201811655233
1544,0.0005736842105263159,188.29651316050757,0.0028947368421052624,168.70827059554878
1549,0.00047894736842105264,225.80851878808846,0.00431578947368421,115.65782916637544
1554,0.0005263157894736842,201.03994194201056,0.00431578947368421,114.98533613726678
1559,0.00047894736842105264,224.25134090695042,0.005263157894736842,94.55969088569563
1563,0.0005736842105263159,192.63893409784586,0.003842105263157895,130.2049127100014
1568,0.0003842105263157895,287.04601528899775,0.00431578947368421,114.14206923097278
1573,0.00047894736842105264,231.27288220266584,0.00431578947368421,117.3333419339874
1578,0.0004315789473684211,251.30598400538744,0.003842105263157895,127.62949345466964
1583,0.0003842105263157895,285.69412555231213,0.003842105263157895,128.78103450689915
1588,0.0005736842105263159,195.6085333824482,0.0028947368421052624,173.1274594926769
1592,0.00047894736842105264,232.2743317505742,0.0028947368421052624,172.9510099309532
1597,0.0005736842105263159,192.46136245808785,0.00431578947368421,116.80412648992265
1602,0.00047894736842105264,233.55520205866998,0.00431578947368421,117.24252111421322
1607,0.0005263157894736842,205.3353545501596,0.00431578947368421,115.61420551388132
1612,0.00047894736842105264,233.9498398478615,0.003842105263157895,131.02413630386732
1617,0.0005263157894736842,213.5272857852908,0.003842105263157895,131.38327430250388
1621,0.0004315789473684211,260.4320786237674,0.00431578947368421,116.08604891416597
1626,0.0003842105263157895,283.2339023910262,0.0028947368421052624,172.68923296264876
1631,0.00047894736842105264,227.6157356846466,0.0028947368421052624,170.46981782232078
1636,0.0003842105263157895,291.369151063693,0.00431578947368421,115.51906914833812
1641,0.00047894736842105264,231.82775330384007,0.004789473684210526,105.39100330490389
1646,0.0007157894736842105,154.6981581121625,0.00431578947368421,115.66997669419025
1650,0.0005263157894736842,214.41823319791757,0.0033684210526315787,150.12415499355797
1655,0.0005736842105263159,196.06136379317724,0.003842105263157895,131.561468549691
1660,0.0005263157894736842,214.64813487189653,0.00431578947368421,117.93642810635409
1665,0.0005263157894736842,206.19941437237617,0.003842105263157895,130.34713893686
1670,0.00047894736842105264,229.7728107999663,0.00431578947368421,116.86233670719221
1675,0.00047894736842105264,226.63130659754034,0.005263157894736842,95.07395638420536
1679,0.0005263157894736842,207.093039676227,0.004789473684210526,104.08545072644228
1684,0.00047894736842105264,228.92832755620597,0.00431578947368421,117.01561877566071
1689,0.00047894736842105264,231.79698683197364,0.003842105263157895,132.91531872551946
