n,Lambda,Condition,Lambda_2,Covariate Condition
500,0.005,21.589235063885116,0.005,97.47186786520737
505,0.005,24.470682426442337,0.005,101.41408498033955
510,0.005,23.09350507427921,0.005,100.55820171497857
515,0.005,22.796948600427296,0.005,101.43164373740372
520,0.005,23.26872643101266,0.005,99.28949477095195
525,0.005,23.10633906784869,0.005,97.94933394968042
530,0.005,22.713721924489576,0.005,99.1884531562598
535,0.005,24.639605306916575,0.005,103.50696680779734
540,0.005,23.054861501274523,0.005,103.68720240097427
545,0.005,22.698724448557403,0.005,102.47542466423138
550,0.005,24.036552390499708,0.005,105.42081968155853
555,0.005,22.144949660166837,0.005,98.54179219440366
560,0.005,22.886681709930798,0.005,100.805876171151
565,0.005,22.91043419142926,0.005,100.04557400455127
570,0.005,24.07827234106638,0.005,102.44321980183413
575,0.005,22.639651598433243,0.005,102.30548395356507
580,0.005,23.15370734725847,0.005,98.11467592008334
585,0.005,23.010671888564097,0.005,98.66498798215773
590,0.005,23.31537147214275,0.005,98.43877417099475
595,0.005,23.484374487810943,0.005,100.90316612041937
600,0.005,22.6567384368271,0.005,98.77255005391382
605,0.005,22.672445755267944,0.005,98.51770959799398
610,0.005,23.808047577575774,0.005,101.39477342649481
615,0.005,22.820296448095057,0.005,97.27651528951415
620,0.005,22.84103508862196,0.005,100.71856162024763
625,0.005,23.826703782052686,0.005,101.55127548431638
630,0.005,23.056109601141465,0.005,100.8792550756466
635,0.005,22.83881017334759,0.005,103.4080685903836
640,0.005,21.84014936070116,0.005,96.98047752203807
645,0.005,22.567043555418536,0.005,97.99012309878131
650,0.005,23.359460376515166,0.005,104.50638754657139
655,0.005,22.205067530531117,0.005,98.56423212335373
660,0.005,22.69342386763273,0.005,101.10086883245575
665,0.005,23.558314096997478,0.005,101.13350487827945
670,0.005,23.25982612291793,0.005,100.05202128796942
675,0.005,24.703627756087883,0.005,106.35453841680295
680,0.005,23.139253735996633,0.005,98.28553319073878
685,0.005,22.580167903837467,0.005,98.3660195255751
690,0.005,23.27433241980715,0.005,98.84611112158063
695,0.005,23.323495853373075,0.005,100.04532760167797
700,0.005,22.445713210051828,0.005,98.74868181213965
705,0.005,23.89390294942992,0.005,101.5293219631072
710,0.005,23.635386933748663,0.005,100.3072530938878
715,0.005,22.52357494157445,0.005,99.5172198361046
720,0.005,23.973968775917022,0.005,101.37931463172319
725,0.005,23.08687024878178,0.005,100.58127470778025
730,0.005,23.069898777265912,0.005,101.56637397734424
735,0.005,23.093700316624147,0.005,100.70411564960636
740,0.005,23.111472638482322,0.005,101.35781940576294
745,0.005,24.241267547005336,0.005,103.43954427562277
750,0.005,22.63853927826145,0.005,99.44005526688915
755,0.005,22.323681808570576,0.005,99.65539663756086
760,0.005,22.905952195086375,0.005,98.81524678943363
765,0.005,24.0685137820732,0.005,101.65514848232401
770,0.005,22.4140942251121,0.005,98.908352747387
775,0.005,23.226260314509567,0.005,101.25992138310421
780,0.005,23.102682697179617,0.005,100.67034091842454
785,0.005,23.618337563638292,0.005,101.68419439672108
790,0.005,23.619215189424526,0.005,101.8998491780454
795,0.005,22.524043904708424,0.005,99.93539653634488
800,0.005,22.15197186539893,0.005,99.74021777959206
805,0.005,22.16614857136237,0.005,96.17732200213388
810,0.005,23.25102425040556,0.005,101.43348717751185
815,0.005,23.006979133285945,0.005,101.79390280668159
820,0.005,23.253403782806842,0.005,100.5125074743542
825,0.005,23.602119691640212,0.005,101.09908003242846
830,0.005,22.278846863060533,0.005,97.31174759942539
835,0.005,22.593831418639,0.005,99.16618826151176
840,0.005,23.665351109764657,0.005,99.47560889959807
845,0.005,22.267015032723837,0.005,97.11396680521379
850,0.005,23.376852532715148,0.005,104.0104230646721
855,0.005,22.858648469186043,0.005,98.86063766939719
860,0.005,22.675726972320042,0.005,101.00248814055426
865,0.005,23.019952712139776,0.005,97.9989301443854
870,0.005,21.94676796571146,0.005,97.98051189285451
875,0.005,23.30906608283112,0.005,100.04713260878101
880,0.005,22.848726347603925,0.005,101.45648969679799
885,0.005,22.95435438892288,0.005,101.902832308014
890,0.005,21.263904631080553,0.005,99.07296267157531
895,0.005,22.65688626220577,0.005,99.22347781360618
900,0.005,22.82024101766737,0.005,100.52177552391794
905,0.005,23.968644590879624,0.005,100.95675907363632
910,0.005,22.473482390015597,0.005,99.21430877787077
915,0.005,22.23237344791248,0.005,100.62568789873615
920,0.005,22.61691667290674,0.005,100.8234654158802
925,0.005,21.97793327352671,0.005,95.70303779102404
930,0.005,23.254533907987447,0.005,101.14052882712019
935,0.005,22.55327638331691,0.005,99.74728963443422
940,0.005,22.511424570126962,0.005,97.88405477582279
945,0.005,21.96369240115749,0.005,99.37449914193269
950,0.005,23.999747206558926,0.005,102.23935505952186
955,0.005,23.82106164387273,0.005,102.22441408709942
960,0.005,23.096511448862913,0.005,99.21258694842516
965,0.005,22.47791753294766,0.005,100.5035301529546
970,0.005,23.344964428220074,0.005,102.86333458219623
975,0.005,24.61699896407551,0.005,104.01786572188152
