Lambda,Condition,Condition Number
0.005,22.99623014,100.3965911
0.005995996,19.3426136,83.88580513
0.006991992,16.72985426,72.07887942
0.007987988,14.76862342,63.21628731
0.008983984,13.24223605,56.31877133
0.00997998,12.02050468,50.79799125
0.010975976,11.02049511,46.27915848
0.011971972,10.18687096,42.51220508
0.012967968,9.481295742,39.32388828
0.013963964,8.876370332,36.59039231
0.01495996,8.351992103,34.22087472
0.015955956,7.89307769,32.1471752
0.016951952,7.4880885,30.31715221
0.017947948,7.12804717,28.6902383
0.018943944,6.805864281,27.2343975
0.01993994,6.515866852,25.92399461
0.020935936,6.253461424,24.73827266
0.021931932,6.014888936,23.66024522
0.022927928,5.797043499,22.67587744
0.023923924,5.597336431,21.77347166
0.02491992,5.413592903,20.94320035
0.025915916,5.243972411,20.17674673
0.026911912,5.086906915,19.46702521
0.027907908,4.941052215,18.80796172
0.028903904,4.805249389,18.1943194
0.0298999,4.678493933,17.62155918
0.030895896,4.559910871,17.08572729
0.031891892,4.448734528,16.58336386
0.032887888,4.344291984,16.11142818
0.033883884,4.245989434,15.66723701
0.03487988,4.153300901,15.24841362
0.035875876,4.065758814,14.85284522
0.036871872,3.982946125,14.47864728
0.037867868,3.90448966,14.12413356
0.038863864,3.8300545,13.78779067
0.03985986,3.759339201,13.46825647
0.040855856,3.692071713,13.16430167
0.041851852,3.628005884,12.87481399
0.042847848,3.566918448,12.59878455
0.043843844,3.508606427,12.33529618
0.04483984,3.452884877,12.08351318
0.045835836,3.399584929,11.84267248
0.046831832,3.34855208,11.61207594
0.047827828,3.299644697,11.39108356
0.048823824,3.252732702,11.17910759
0.04981982,3.207696422,10.97560725
0.050815816,3.164425565,10.78008417
0.051811812,3.122818318,10.5920783
0.052807808,3.082780553,10.4111643
0.053803804,3.044225107,10.23694833
0.0547998,3.007071158,10.06906517
0.055795796,2.971243653,9.907175686
0.056791792,2.936672803,9.750964532
0.057787788,2.903293632,9.600138104
0.058783784,2.871045568,9.454422694
0.05977978,2.839872074,9.313562839
0.060775776,2.80972032,9.177319818
0.061771772,2.780540883,9.045470308
0.062767768,2.752287478,8.917805163
0.063763764,2.72491671,8.7941283
0.06475976,2.698387855,8.674255703
0.065755756,2.672662657,8.558014503
0.066751752,2.647705142,8.445242149
0.067747748,2.62348145,8.335785649
0.068743744,2.599959688,8.229500877
0.06973974,2.57710978,8.126251941
0.070735736,2.554903346,8.025910603
0.071731732,2.533313583,7.928355746
0.072727728,2.512315155,7.833472889
0.073723724,2.491884096,7.741153737
0.07471972,2.471997717,7.65129577
0.075715716,2.452634523,7.563801861
0.076711712,2.433774136,7.478579927
0.077707708,2.415397223,7.395542609
0.078703704,2.397485427,7.314606966
0.0796997,2.380021313,7.235694207
0.080695696,2.362988302,7.158729427
0.081691692,2.346370628,7.083641376
0.082687688,2.330153281,7.010362239
0.083683684,2.314321967,6.938827425
0.08467968,2.298863066,6.868975385
0.085675676,2.283763588,6.800747432
0.086671672,2.269011144,6.734087576
0.087667668,2.254593905,6.66894237
0.088663664,2.240500575,6.60526077
0.08965966,2.226720358,6.542994002
0.090655656,2.213242936,6.482095431
0.091651652,2.200058436,6.422520454
0.092647648,2.187157412,6.364226381
0.093643644,2.174530818,6.307172343
0.09463964,2.16216999,6.251319189
0.095635636,2.150066624,6.196629398
0.096631632,2.13821276,6.143066999
0.097627628,2.126600761,6.090597485
0.098623624,2.1152233,6.039187747
0.09961962,2.104073341,5.988805996
0.100615616,2.09314413,5.939421706
0.101611612,2.082429173,5.891005544
0.102607608,2.071922233,5.843529318
0.103603604,2.06161731,5.79696592
0.1045996,2.051508633,5.751289274
0.105595596,2.041590648,5.706474289
0.106591592,2.031858012,5.662496809
0.107587588,2.022305575,5.619333576
0.108583584,2.01292838,5.576962182
0.10957958,2.003721648,5.535361037
0.110575576,1.994680772,5.494509326
0.111571572,1.985801311,5.454386979
0.112567568,1.97707898,5.414974636
0.113563564,1.968509645,5.376253616
0.11455956,1.960089316,5.338205887
0.115555556,1.951814139,5.30081404
0.116551552,1.943680393,5.264061259
0.117547548,1.935684484,5.227931301
0.118543544,1.927822937,5.192408467
0.11953954,1.920092393,5.157477581
0.120535536,1.912489606,5.123123969
0.121531532,1.905011433,5.089333438
0.122527528,1.897654837,5.056092257
0.123523524,1.890416876,5.023387137
0.12451952,1.883294703,4.991205215
0.125515516,1.876285562,4.959534036
0.126511512,1.869386784,4.928361536
0.127507508,1.862595782,4.89767603
0.128503504,1.85591005,4.867466195
0.129499499,1.84932716,4.837721054
0.130495495,1.842844756,4.808429968
0.131491491,1.836460555,4.779582618
0.132487487,1.830172342,4.751168998
0.133483483,1.823977969,4.723179398
0.134479479,1.817875351,4.695604397
0.135475475,1.811862463,4.668434851
0.136471471,1.805937342,4.641661882
0.137467467,1.80009808,4.615276871
0.138463463,1.794342823,4.589271446
0.139459459,1.788669772,4.563637473
0.140455455,1.783077179,4.538367051
0.141451451,1.777563343,4.5134525
0.142447447,1.772126613,4.488886355
0.143443443,1.766765382,4.464661359
0.144439439,1.761478088,4.440770454
0.145435435,1.756263214,4.417206778
0.146431431,1.75111928,4.393963651
0.147427427,1.746044849,4.371034579
0.148423423,1.741038522,4.348413237
0.149419419,1.736098937,4.326093473
0.150415415,1.731224768,4.304069296
0.151411411,1.726414724,4.282334872
0.152407407,1.721667548,4.260884521
0.153403403,1.716982016,4.239712709
0.154399399,1.712356934,4.218814047
0.155395395,1.707791141,4.198183282
0.156391391,1.703283503,4.177815296
0.157387387,1.698832916,4.157705099
0.158383383,1.694438304,4.137847829
0.159379379,1.690098618,4.118238743
0.160375375,1.685812834,4.098873219
0.161371371,1.681579955,4.079746745
0.162367367,1.677399006,4.060854923
0.163363363,1.673269038,4.04219346
0.164359359,1.669189124,4.02375817
0.165355355,1.665158359,4.005544965
0.166351351,1.661175862,3.987549855
0.167347347,1.657240769,3.969768948
0.168343343,1.65335224,3.95219844
0.169339339,1.649509452,3.93483462
0.170335335,1.645711604,3.917673862
0.171331331,1.641957912,3.900712624
0.172327327,1.638247611,3.883947447
0.173323323,1.634579951,3.867374951
0.174319319,1.630954202,3.850991833
0.175315315,1.627369651,3.834794865
0.176311311,1.623825598,3.818780894
0.177307307,1.620321361,3.802946834
0.178303303,1.616856274,3.787289671
0.179299299,1.613429683,3.771806458
0.180295295,1.61004095,3.75649431
0.181291291,1.606689453,3.74135041
0.182287287,1.603374579,3.726371998
0.183283283,1.600095733,3.711556378
0.184279279,1.59685233,3.696900908
0.185275275,1.593643798,3.682403008
0.186271271,1.590469579,3.668060148
0.187267267,1.587329124,3.653869856
0.188263263,1.584221898,3.63982971
0.189259259,1.581147376,3.625937339
0.190255255,1.578105044,3.612190423
0.191251251,1.5750944,3.598586689
0.192247247,1.572114952,3.585123911
0.193243243,1.569166216,3.571799911
0.194239239,1.56624772,3.558612552
0.195235235,1.563359001,3.545559745
0.196231231,1.560499607,3.532639441
0.197227227,1.557669093,3.519849631
0.198223223,1.554867023,3.507188349
0.199219219,1.552092971,3.494653667
0.200215215,1.549346518,3.482243695
0.201211211,1.546627255,3.469956583
0.202207207,1.543934781,3.457790514
0.203203203,1.541268701,3.445743708
0.204199199,1.538628628,3.433814421
0.205195195,1.536014185,3.42200094
0.206191191,1.533425,3.410301589
0.207187187,1.530860708,3.39871472
0.208183183,1.528320952,3.38723872
0.209179179,1.525805383,3.375872004
0.210175175,1.523313655,3.36461302
0.211171171,1.520845432,3.353460242
0.212167167,1.518400382,3.342412176
0.213163163,1.515978181,3.331467353
0.214159159,1.513578511,3.320624332
0.215155155,1.511201057,3.309881701
0.216151151,1.508845513,3.29923807
0.217147147,1.506511578,3.288692079
0.218143143,1.504198955,3.278242389
0.219139139,1.501907354,3.267887688
0.220135135,1.499636489,3.257626686
0.221131131,1.497386081,3.247458117
0.222127127,1.495155855,3.237380738
0.223123123,1.492945539,3.227393328
0.224119119,1.490754868,3.217494686
0.225115115,1.488583582,3.207683635
0.226111111,1.486431425,3.197959018
0.227107107,1.484298145,3.188319696
0.228103103,1.482183494,3.178764554
0.229099099,1.48008723,3.169292492
0.230095095,1.478009114,3.159902433
0.231091091,1.475948911,3.150593315
0.232087087,1.473906391,3.141364097
0.233083083,1.471881326,3.132213754
0.234079079,1.469873495,3.12314128
0.235075075,1.467882678,3.114145685
0.236071071,1.465908659,3.105225996
0.237067067,1.463951227,3.096381255
0.238063063,1.462010175,3.087610523
0.239059059,1.460085296,3.078912875
0.240055055,1.45817639,3.0702874
0.241051051,1.456283258,3.061733203
0.242047047,1.454405707,3.053249406
0.243043043,1.452543544,3.044835143
0.244039039,1.450696582,3.036489562
0.245035035,1.448864634,3.028211825
0.246031031,1.447047518,3.02000111
0.247027027,1.445245055,3.011856604
0.248023023,1.443457069,3.003777511
0.249019019,1.441683385,2.995763045
0.250015015,1.439923834,2.987812435
0.251011011,1.438178246,2.979924919
0.252007007,1.436446455,2.972099751
0.253003003,1.4347283,2.964336193
0.253998999,1.43302362,2.956633521
0.254994995,1.431332256,2.948991021
0.255990991,1.429654054,2.941407992
0.256986987,1.427988859,2.933883741
0.257982983,1.426336523,2.926417587
0.258978979,1.424696896,2.919008862
0.259974975,1.423069832,2.911656904
0.260970971,1.421455187,2.904361063
0.261966967,1.41985282,2.8971207
0.262962963,1.418262591,2.889935184
0.263958959,1.416684364,2.882803894
0.264954955,1.415118001,2.875726218
0.265950951,1.413563371,2.868701555
0.266946947,1.412020341,2.861729311
0.267942943,1.410488783,2.854808902
0.268938939,1.408968569,2.84793975
0.269934935,1.407459574,2.84112129
0.270930931,1.405961673,2.834352962
0.271926927,1.404474745,2.827634215
0.272922923,1.40299867,2.820964507
0.273918919,1.401533329,2.814343301
0.274914915,1.400078605,2.807770073
0.275910911,1.398634385,2.8012443
0.276906907,1.397200553,2.794765473
0.277902903,1.395776999,2.788333085
0.278898899,1.394363613,2.78194664
0.279894895,1.392960286,2.775605646
0.280890891,1.39156691,2.769309621
0.281886887,1.390183381,2.763058087
0.282882883,1.388809595,2.756850576
0.283878879,1.387445448,2.750686623
0.284874875,1.386090841,2.744565771
0.285870871,1.384745672,2.73848757
0.286866867,1.383409844,2.732451576
0.287862863,1.38208326,2.726457351
0.288858859,1.380765824,2.720504462
0.289854855,1.379457442,2.714592484
0.290850851,1.378158021,2.708720996
0.291846847,1.37686747,2.702889584
0.292842843,1.375585696,2.697097839
0.293838839,1.374312612,2.691345357
0.294834835,1.37304813,2.68563174
0.295830831,1.371792162,2.679956596
0.296826827,1.370544623,2.674319538
0.297822823,1.369305428,2.668720184
0.298818819,1.368074493,2.663158156
0.299814815,1.366851737,2.657633083
