n,Lambda,Condition,Lambda_2,Covariate Condition
500,0.001,237.24336096262624,0.001,453.1548557699923
507,0.001,233.28822579998928,0.001,453.3337754030076
514,0.001,242.1267470984729,0.001,453.00437605378613
521,0.001,236.1870777314799,0.001,452.4245108570728
528,0.000875,267.52647793900155,0.001,452.46555503397235
535,0.001,229.17103092691974,0.001,452.31544590986584
542,0.000625,373.18619406153346,0.001,452.3512152395117
549,0.000875,266.2707081796204,0.001,452.39314348280124
556,0.000875,264.3580494408756,0.001,452.285611018931
563,0.00075,301.5472744109195,0.001,452.53888573918005
570,0.001,229.63789323582236,0.001,452.74911709462896
577,0.001,243.75772797608104,0.001,452.97280688105974
584,0.000625,380.23944566933744,0.001,453.47355423052903
591,0.001,231.42921704261045,0.001,453.1312626131876
598,0.001,228.9236422184586,0.001,453.3544901298421
605,0.001,239.0509747094306,0.001,453.6616887210185
612,0.001,232.30854997053117,0.001,453.90118164549716
619,0.000625,377.127643279405,0.001,453.5601240030345
626,0.001,234.18899321611653,0.001,454.05006047288185
633,0.000875,266.3249765945094,0.001,453.9603725766994
640,0.001,239.6574646232089,0.001,453.77211739403526
647,0.000875,272.8789490840169,0.0005,906.369331164474
654,0.000625,379.341323080732,0.001,453.8082904745824
661,0.000625,381.141654387024,0.001,453.5740248080906
668,0.0005,479.4142970592672,0.001,453.2696741764424
675,0.001,238.32952698496823,0.001,453.3220132801403
682,0.0005,471.91449833432915,0.001,453.1034755519788
689,0.0005,470.9398216195897,0.001,453.3804049511968
696,0.00075,310.19639000334644,0.001,453.36368363981785
703,0.0005,465.09530819705964,0.001,453.1453771489066
710,0.00075,315.42862279129173,0.001,453.3411484601748
717,0.001,237.67636453480387,0.001,453.4204728192162
724,0.001,234.0465028635743,0.001,453.66926384826394
731,0.000625,370.86943295772915,0.001,453.47200109100214
738,0.0005,469.5206747770079,0.001,452.9875313253556
745,0.00075,311.6235714055278,0.001,453.2084897909208
752,0.000625,376.2888804570865,0.001,453.21160767990085
759,0.0005,443.0274726216889,0.001,453.06437180876037
766,0.0005,464.13539198259303,0.001,452.95483285860377
773,0.00075,314.0720538324273,0.001,452.98968879569344
780,0.001,234.30756358111552,0.001,452.7720604105716
787,0.00075,314.29181773615556,0.001,452.92424716020685
794,0.0005,472.68568458301513,0.001,452.84182819955515
801,0.0005,485.2508661499818,0.000875,517.0527856262345
808,0.001,236.472674699296,0.001,452.30933931863245
815,0.0005,463.392401557206,0.001,452.5923753657634
822,0.000625,372.7243152838482,0.001,452.7181716284327
829,0.0005,459.49825688688463,0.001,452.5312159403925
836,0.0005,467.62305099906246,0.001,452.7037922260265
843,0.001,240.70138669153286,0.001,452.99236639941483
850,0.000875,266.70713741109654,0.0005,905.0494866920958
857,0.0005,457.73483736738046,0.001,452.8357384164842
864,0.0005,461.78761406551297,0.001,452.8660964594589
871,0.000625,368.67025265932756,0.001,452.6455472264769
878,0.00075,308.0299660147567,0.001,452.5407552396013
885,0.0005,468.9496580615161,0.00075,603.4658109622686
892,0.000625,381.1221683132214,0.001,452.7204795034101
899,0.000875,265.05987914100973,0.001,452.2420966907948
906,0.0005,475.7301378328308,0.001,452.6074689974429
913,0.000625,378.43995933235374,0.001,452.4306576423939
920,0.0005,467.6203805851867,0.001,452.48346522898834
927,0.000625,375.7847356142839,0.001,452.4430361625556
934,0.000625,382.03214030674746,0.001,452.36244786434037
941,0.00075,315.06456291397114,0.001,452.0771102279017
948,0.00075,316.135176127274,0.001,451.99976355946416
955,0.0005,464.5522432558288,0.00075,602.1576994856139
962,0.0005,470.26908505208996,0.001,452.370899850163
969,0.0005,470.42220885781,0.0005,904.0013260058814
976,0.0005,471.22872562567125,0.001,452.3566360984171
983,0.0005,475.70492804137643,0.001,452.523706474139
990,0.0005,480.17869257368096,0.000625,723.4375971000977
997,0.0005,471.6600524819066,0.000875,517.0513212452198
1005,0.0005,473.94870593630554,0.001,452.547491330333
1012,0.0005,475.3720823620469,0.00075,603.2727635924683
1019,0.0005,472.62261518893234,0.001,452.69016453155973
1026,0.0005,479.2955283532822,0.00075,603.3934754292627
1033,0.0005,470.3737378934453,0.000875,517.493556581609
1040,0.00075,317.37376121576733,0.001,453.1095361811731
1047,0.00075,314.92153349428315,0.000875,517.5812594749539
1054,0.0005,471.98487661988577,0.001,452.7273504337378
1061,0.00075,318.7023158268977,0.001,452.61818720825204
1068,0.000625,375.28552519444503,0.000875,517.251251098516
1075,0.0005,485.839797699912,0.001,452.7930810959377
1082,0.000625,384.6286283255303,0.000625,724.1795211994091
1089,0.0005,481.0139309164086,0.001,452.90429719081
1096,0.000625,387.80849888748384,0.00075,603.7323058185121
1103,0.0005,471.69330922522045,0.00075,603.4370858985143
1110,0.0005,473.58006750222944,0.001,452.6349915977285
1117,0.0005,477.12569204117074,0.001,452.6521010273193
1124,0.0005,471.0279550021027,0.001,452.4268571984703
1131,0.0005,473.94183348130036,0.001,452.72460289279724
1138,0.000625,385.61024977397386,0.001,452.9221613183021
1145,0.000875,274.163913476369,0.000875,517.456068203139
1152,0.0005,474.27504562035995,0.000625,723.869464489917
1159,0.0005,471.7157966841619,0.001,452.8839094035009
1166,0.0005,472.76706349237526,0.00075,603.2742392374519
1173,0.0005,476.24904443056147,0.001,452.6677630410874
1180,0.0005,470.2846239134748,0.0005,904.4578536236246
1187,0.0005,474.2804836420195,0.001,452.55224211103297
1194,0.0005,473.86235761951406,0.000875,517.1337084162315
1201,0.0005,479.4012020328162,0.001,452.4869455696001
1208,0.000625,379.6113495249866,0.0005,904.2722772036317
1215,0.0005,466.07180644362415,0.001,452.59645677623115
1222,0.0005,460.9387163053733,0.0005,904.3186770158636
1229,0.0005,474.28411715380616,0.001,452.7912554051109
1236,0.0005,465.3823283598427,0.000625,723.6345242169473
1243,0.000625,372.5088553604073,0.00075,603.0531302566673
1250,0.000625,380.38102549501093,0.001,452.45182827684476
1257,0.0005,465.2669069605716,0.001,452.34403984990973
1264,0.0005,470.8765731647329,0.001,452.4080811120883
1271,0.0005,464.26860030792847,0.0005,904.2276274427925
1278,0.0005,467.76779154185255,0.001,452.60593274443505
1285,0.0005,465.4889428773696,0.001,452.77340705201937
1292,0.0005,473.37271415745175,0.00075,603.692133155058
1299,0.0005,460.1152436592315,0.0005,905.0622439181374
1306,0.0005,466.3335323259112,0.0005,904.8586914262214
1313,0.0005,460.5843277573064,0.001,452.9900480494439
1320,0.0005,472.4021363018224,0.00075,603.5867506756719
1327,0.0005,463.426220970206,0.001,453.0812861948525
1334,0.0005,468.7432586062046,0.000875,517.8185870906409
1341,0.0005,462.03060706888175,0.001,453.1445536010309
1348,0.0005,471.1189346241012,0.000625,724.8442640069928
1355,0.0005,465.03603900542305,0.000875,517.8840108126133
1362,0.0005,469.5442186109521,0.001,453.3940014748825
1369,0.0005,465.1166616343504,0.0005,905.995903307651
1376,0.0005,464.1896022351157,0.001,453.46341874610266
1383,0.0005,478.3648518563096,0.000875,518.3609311293445
1390,0.0005,473.87058136433177,0.001,453.5425870036661
1397,0.0005,478.3023555196619,0.001,453.4823318259458
1404,0.0005,473.1715704828399,0.001,453.602633674696
1411,0.0005,462.23371476401354,0.001,453.35899317937566
1418,0.0005,469.026934373991,0.00075,604.1564591042917
1425,0.0005,469.4718409362647,0.000875,518.1977130181406
1432,0.0005,471.5380780690321,0.00075,604.4800576766111
1439,0.0005,467.9900925730911,0.000875,518.1795483359303
1446,0.0005,473.3875121253947,0.00075,604.2838619872672
1453,0.0005,465.3422671187518,0.001,453.47060750998094
1460,0.000625,373.4771606314396,0.001,453.4938210175135
1467,0.0005,466.99287236546706,0.00075,604.4184595358628
1474,0.0005,474.307014414006,0.00075,604.2990573472171
1481,0.0005,471.7927802559686,0.000875,518.7180194102395
1488,0.000625,375.9533698325665,0.000625,725.9530654443291
1495,0.0005,470.54871809326033,0.00075,605.2226839477954
1503,0.0005,469.4893016150073,0.00075,605.243403617924
1510,0.0005,465.252605516848,0.000875,519.0688508607116
1517,0.0005,466.8165966104114,0.00075,605.187159813823
1524,0.0005,461.9468527150469,0.0005,907.054112327076
1531,0.0005,459.4781901443938,0.000875,518.6893313697792
1538,0.0005,459.84091934228013,0.0005,906.9880507651501
1545,0.0005,466.3271126897977,0.000875,518.7941677452554
1552,0.0005,465.1206009319342,0.000875,518.7185494860369
1559,0.0005,462.9485841523211,0.0005,907.0630013638453
1566,0.0005,461.4896142802739,0.0005,907.004342559911
1573,0.0005,461.01866562276916,0.0005,907.6953233614596
1580,0.0005,466.65559824173295,0.001,454.1703676797421
1587,0.000625,369.5286095928204,0.000875,518.8675533382158
1594,0.0005,462.57269170155547,0.0005,907.2622407187712
1601,0.0005,450.90070317556194,0.000875,518.6142751551403
1608,0.0005,457.8671818429725,0.000625,725.3900517908254
1615,0.0005,459.79553544486606,0.000875,518.4467408068429
1622,0.0005,458.15114759219745,0.00075,604.8072068101104
1629,0.0005,457.6891217178025,0.000875,518.437350440401
1636,0.0005,457.68320999699307,0.000875,518.5688079027599
1643,0.0005,452.05188671828597,0.00075,604.7891763445735
1650,0.0005,449.1941023074516,0.0005,906.4869997590091
1657,0.0005,454.163893396091,0.00075,604.5681170346438
1664,0.0005,454.2809235274843,0.000875,518.2560918781159
1671,0.0005,459.93624310845667,0.00075,604.2242837584686
1678,0.0005,457.28647329128916,0.00075,604.1502788074854
1685,0.0005,453.5397939795671,0.000625,724.5838940719407
1692,0.0005,452.6654622039865,0.000875,518.0082369685074
1699,0.0005,452.749775436784,0.00075,604.073299159065
1706,0.0005,456.39812787677465,0.0005,905.6764053646818
1713,0.0005,455.8142491971747,0.000625,724.6975638486905
1720,0.0005,454.877385422561,0.00075,603.965096993085
1727,0.0005,463.06728978050427,0.0005,905.5775366787186
1734,0.0005,461.430042711979,0.001,453.20121918891977
1741,0.0005,450.5215846385612,0.000625,724.3492604436366
1748,0.0005,458.637234301548,0.00075,603.73400585056
1755,0.0005,461.9744321672195,0.000625,724.4221659053566
1762,0.0005,462.36786791005204,0.00075,603.7858633478479
1769,0.0005,450.7998947637835,0.001,452.9722084667797
1776,0.0005,456.33778146225103,0.0005,905.0568838573217
1783,0.0005,457.1157037396607,0.0005,905.1912877119659
1790,0.0005,465.3462880549801,0.000625,724.1213867929982
1797,0.0005,462.04092662022026,0.00075,603.4372351958084
1804,0.0005,460.4462899688269,0.001,452.90485469705845
1811,0.0005,460.12028370490066,0.00075,603.5640002493205
1818,0.0005,459.7514084698608,0.000625,724.2047620837291
1825,0.0005,460.14289382026755,0.00075,603.952161341343
1832,0.0005,459.82942542913844,0.0005,905.9197940191048
1839,0.0005,464.4330392116616,0.0005,905.9882658538166
1846,0.0005,457.51593279061296,0.000875,518.1082909040684
1853,0.0005,461.6403399214122,0.000625,725.000972104744
1860,0.0005,456.7407296101849,0.0005,905.6650866210699
1867,0.0005,461.53817242059034,0.000625,724.846655754468
1874,0.0005,457.3189830172618,0.000875,518.1003390340086
1881,0.0005,456.78615861673984,0.0005,906.1012696372907
1888,0.0005,457.31721700809567,0.00075,604.3605956717257
1895,0.0005,459.1051458026569,0.0005,906.0695891470414
1902,0.0005,461.85149055204823,0.000625,724.9977990064444
1909,0.0005,458.2642562461817,0.000875,518.2253164161598
1916,0.0005,458.54912196240025,0.000875,518.1826886261836
1923,0.0005,468.82307799296694,0.0005,906.2328400166514
