n,Lambda,Condition,Lambda_2,Covariate Condition
500,0.0001,2363.4331577421503,0.0001,4522.548557704346
507,0.0001,2323.881630330502,0.0001,4524.3377540355905
514,0.0001,2412.2674019532396,0.0001,4521.043760543494
521,0.0001,2352.870749904681,0.0001,4515.245108577365
528,0.0001,2333.1064607271164,0.0001,4515.655550344601
535,0.0001,2282.710059827081,0.0001,4514.154459104295
542,0.0001,2327.1634996462576,0.0001,4514.512152401472
549,0.0001,2322.118621650227,0.0001,4514.931434832535
556,0.0001,2305.3828654002004,0.0001,4513.856110195767
563,0.0001,2255.1043691923696,0.0001,4516.388857397503
570,0.0001,2287.3788170515018,0.0001,4518.491170950146
577,0.0001,2428.5772331388985,0.0001,4520.728068816428
584,0.0001,2371.2464283580084,0.0001,4525.735542311738
591,0.0001,2305.292066577178,0.0001,4522.3126261366
598,0.0001,2280.236375673631,0.0001,4524.544901306683
605,0.0001,2381.509734821253,0.0001,4527.616887215468
612,0.0001,2314.08546826131,0.0001,4530.011816464012
619,0.0001,2351.797738007408,0.0001,4526.601240034721
626,0.0001,2332.8898973596874,0.0001,4531.50060473439
633,0.0001,2322.593487356127,0.0001,4530.603725771836
640,0.0001,2387.5746151992785,0.0001,4528.72117394506
647,0.0001,2379.9407891654823,0.0001,4527.846655825815
654,0.0001,2365.633238280247,0.0001,4529.082904750879
661,0.0001,2376.885316301043,0.0001,4526.740248087017
668,0.0001,2393.0714752888953,0.0001,4523.6967417712885
675,0.0001,2374.295254982045,0.0001,4524.220132807517
682,0.0001,2355.572472180051,0.0001,4522.034755526107
689,0.0001,2350.69908569565,0.0001,4524.804049517244
696,0.0001,2319.9729018362036,0.0001,4524.636836405481
703,0.0001,2321.476529563975,0.0001,4522.453771495705
710,0.0001,2359.2146699992722,0.0001,4524.411484612788
717,0.0001,2367.7636406757383,0.0001,4525.204728199057
724,0.0001,2331.465014396171,0.0001,4527.692638487908
731,0.0001,2312.683947947361,0.0001,4525.720010915604
738,0.0001,2343.6033718165886,0.0001,4520.875313261416
745,0.0001,2330.6767786588216,0.0001,4523.084897916242
752,0.0001,2346.5555018217733,0.0001,4523.116076807874
759,0.0001,2211.13735741505,0.0001,4521.643718093245
766,0.0001,2316.676949348115,0.0001,4520.548328592399
773,0.0001,2349.040399771727,0.0001,4520.8968879625145
780,0.0001,2334.0756298719516,0.0001,4518.720604113321
787,0.0001,2350.68862931509,0.0001,4520.242471607745
794,0.0001,2359.42842100134,0.0001,4519.418282000283
801,0.0001,2422.25432887087,0.0001,4516.461874234909
808,0.0001,2355.7267457153735,0.0001,4514.093393191966
815,0.0001,2312.9620046095115,0.0001,4516.923753663621
822,0.0001,2324.2769691706817,0.0001,4518.181716290546
829,0.0001,2293.491284087217,0.0001,4516.312159410839
836,0.0001,2334.115253275336,0.0001,4518.037922265489
843,0.0001,2398.0138657560765,0.0001,4520.923664000862
850,0.0001,2325.9374495844027,0.0001,4521.2474334662875
857,0.0001,2284.674185310264,0.0001,4519.3573841723855
864,0.0001,2304.938069538593,0.0001,4519.6609646006045
871,0.0001,2298.9390770513237,0.0001,4517.455472272761
878,0.0001,2303.72474181297,0.0001,4516.407552402535
885,0.0001,2340.7482896893152,0.0001,4519.49358222194
892,0.0001,2376.7635514970084,0.0001,4518.204795040506
899,0.0001,2311.523941712189,0.0001,4513.420966914651
906,0.0001,2374.6506886578995,0.0001,4517.074689982088
913,0.0001,2359.9997446999496,0.0001,4515.306576431436
920,0.0001,2334.1019025426585,0.0001,4515.834652296068
927,0.0001,2343.404596699253,0.0001,4515.430361634742
934,0.0001,2382.4508764665557,0.0001,4514.624478648778
941,0.0001,2356.484221659175,0.0001,4511.771102287664
948,0.0001,2364.5138207159325,0.0001,4510.997635603186
955,0.0001,2318.7612151548933,0.0001,4509.682746151491
962,0.0001,2347.345424536537,0.0001,4514.708998511401
969,0.0001,2348.111043758811,0.0001,4516.006630038939
976,0.0001,2352.1436276161207,0.0001,4514.566360990074
983,0.0001,2374.52464007731,0.0001,4516.237064747932
990,0.0001,2396.8934627819317,0.0001,4516.2349818821895
997,0.0001,2354.3002621885407,0.0001,4516.449060904609
1005,0.0001,2365.74352920885,0.0001,4516.474913310632
1012,0.0001,2372.860411698919,0.0001,4518.04572695206
1019,0.0001,2359.1130758616664,0.0001,4517.901645322978
1026,0.0001,2392.477641531547,0.0001,4518.951065726291
1033,0.0001,2347.8686891662487,0.0001,4520.318620093921
1040,0.0001,2373.803208985774,0.0001,4522.0953618208805
1047,0.0001,2355.4115010412165,0.0001,4521.086020412795
1054,0.0001,2355.92438297891,0.0001,4518.273504344061
1061,0.0001,2383.767368583468,0.0001,4517.181872092804
1068,0.0001,2340.284532376803,0.0001,4518.1984471215
1075,0.0001,2425.1989883594415,0.0001,4518.930810965281
1082,0.0001,2398.6789270037293,0.0001,4520.872007503079
1089,0.0001,2401.069654390222,0.0001,4520.042971915949
1096,0.0001,2418.553118010312,0.0001,4521.492293646792
1103,0.0001,2354.466546047174,0.0001,4519.278144246687
1110,0.0001,2363.900337407371,0.0001,4517.349915983694
1117,0.0001,2381.6284601913026,0.0001,4517.521010279952
1124,0.0001,2351.1397749425464,0.0001,4515.268571991745
1131,0.0001,2365.7091673613722,0.0001,4518.246028935715
1138,0.0001,2404.8140610740707,0.0001,4520.221613189909
1145,0.0001,2391.184242841128,0.0001,4519.990596785695
1152,0.0001,2367.375228061658,0.0001,4518.93415306704
1159,0.0001,2354.578983390467,0.0001,4519.839094043345
1166,0.0001,2359.8353173870514,0.0001,4518.056794288309
1173,0.0001,2377.245222078083,0.0001,4517.677630420166
1180,0.0001,2347.4231195359,0.0001,4518.289268128873
1187,0.0001,2367.4024181903637,0.0001,4516.522421116629
1194,0.0001,2365.3117880443556,0.0001,4517.169948653904
1201,0.0001,2393.0060101533645,0.0001,4515.869455707051
1208,0.0001,2367.320934513938,0.0001,4517.361386027208
1215,0.0001,2326.359032193927,0.0001,4516.964567770582
1222,0.0001,2300.693581512351,0.0001,4517.593385087773
1229,0.0001,2367.420585741112,0.0001,4518.91255405849
1236,0.0001,2322.9116417489813,0.0001,4517.465776363825
1243,0.0001,2322.9303459847547,0.0001,4516.398476931704
1250,0.0001,2372.131409298557,0.0001,4515.5182827757635
1257,0.0001,2322.3345347967575,0.0001,4514.440398508417
1264,0.0001,2350.3828658098487,0.0001,4515.080811127698
1271,0.0001,2317.3430015251793,0.0001,4517.138137221955
1278,0.0001,2334.8389576911236,0.0001,4517.059327460685
1285,0.0001,2323.4447143724306,0.0001,4518.73407053003
1292,0.0001,2362.863570775721,0.0001,4521.190998670325
1299,0.0001,2296.576218287441,0.0001,4521.311219596673
1306,0.0001,2327.6676616105765,0.0001,4520.293457139114
1313,0.0001,2298.921638767654,0.0001,4520.900480505947
1320,0.0001,2358.0106814996984,0.0001,4520.400630073579
1327,0.0001,2313.13110484814,0.0001,4521.812861955291
1334,0.0001,2339.716293018328,0.0001,4523.162637052919
1341,0.0001,2306.1530353346907,0.0001,4522.445536017906
1348,0.0001,2351.594673114292,0.0001,4525.0266500493735
1355,0.0001,2321.180195012877,0.0001,4523.735094618513
1362,0.0001,2343.721093052191,0.0001,4524.940014760431
1369,0.0001,2321.5833081647374,0.0001,4525.979516543985
1376,0.0001,2316.9480111652915,0.0001,4525.634187469205
1383,0.0001,2387.8242592783054,0.0001,4527.908147388809
1390,0.0001,2365.3529068187217,0.0001,4526.425870043442
1397,0.0001,2387.511777593602,0.0001,4525.823318269724
1404,0.0001,2361.857852405776,0.0001,4527.026336754434
1411,0.0001,2307.168573811611,0.0001,4524.589931803028
1418,0.0001,2341.134671863797,0.0001,4524.673443290072
1425,0.0001,2343.3592046797958,0.0001,4526.479988917759
1432,0.0001,2353.690390341395,0.0001,4527.100432584692
1439,0.0001,2335.950462862531,0.0001,4526.321047948122
1446,0.0001,2362.937560620296,0.0001,4525.628964914481
1453,0.0001,2322.7113355852866,0.0001,4525.70607510751
1460,0.0001,2328.982253945952,0.0001,4525.938210181835
1467,0.0001,2330.9643618204,0.0001,4526.638446523773
1474,0.0001,2367.53507206518,0.0001,4525.7429301132115
1481,0.0001,2354.96390127956,0.0001,4531.032669849285
1488,0.0001,2344.458561447191,0.0001,4531.956659036715
1495,0.0001,2348.7435904647186,0.0001,4532.6701296155115
1503,0.0001,2343.4465080741757,0.0001,4532.825527145796
1510,0.0001,2322.2630275825777,0.0001,4534.1024450393215
1517,0.0001,2330.0829830478788,0.0001,4532.403698612529
1524,0.0001,2305.734263574832,0.0001,4531.270561642551
1531,0.0001,2293.390950720951,0.0001,4530.781649496826
1538,0.0001,2295.204596706033,0.0001,4530.940253834528
1545,0.0001,2327.635563447518,0.0001,4531.698967779796
1552,0.0001,2321.6030046584897,0.0001,4531.037308011255
1559,0.0001,2310.742920761479,0.0001,4531.315006833496
1566,0.0001,2303.4480713980774,0.0001,4531.021712806819
1573,0.0001,2301.0933281125435,0.0001,4534.47661681547
1580,0.0001,2329.277991207434,0.0001,4532.70367680517
1587,0.0001,2304.30380995348,0.0001,4532.341091718163
1594,0.0001,2308.863458505996,0.0001,4532.311203603212
1601,0.0001,2250.503515876823,0.0001,4530.124907619729
1608,0.0001,2285.335909213895,0.0001,4528.437823702363
1615,0.0001,2294.9776772225655,0.0001,4528.658982066735
1622,0.0001,2286.755737959918,0.0001,4529.554051083548
1629,0.0001,2284.445608588458,0.0001,4528.576816362549
1636,0.0001,2284.4160499845357,0.0001,4529.727069158658
1643,0.0001,2256.259433590274,0.0001,4529.418822591471
1650,0.0001,2241.970511535388,0.0001,4528.434998802464
1657,0.0001,2266.8194669788686,0.0001,4527.760877769896
1664,0.0001,2267.404617636778,0.0001,4526.990803941247
1671,0.0001,2295.681215542111,0.0001,4525.182128197036
1678,0.0001,2282.4323664561007,0.0001,4524.627091064442
1685,0.0001,2263.6989698970847,0.0001,4523.399337958903
1692,0.0001,2259.3273110194127,0.0001,4524.822073482537
1699,0.0001,2259.748877183282,0.0001,4524.049743699274
1706,0.0001,2277.9906393835627,0.0001,4524.3820268296795
1713,0.0001,2275.0712459857386,0.0001,4524.109774063497
1720,0.0001,2270.386927112232,0.0001,4523.238227456261
1727,0.0001,2311.3364489021906,0.0001,4523.88768340235
1734,0.0001,2303.150213559822,0.0001,4523.012191896803
1741,0.0001,2248.6079231923,0.0001,4521.932877780424
1748,0.0001,2289.186171507564,0.0001,4521.505043890196
1755,0.0001,2305.8721608359338,0.0001,4522.388536918193
1762,0.0001,2307.839339549538,0.0001,4521.893975118663
1769,0.0001,2249.9994738184037,0.0001,4520.722084676797
1776,0.0001,2277.688907311012,0.0001,4521.284419296433
1783,0.0001,2281.578518697836,0.0001,4521.956438566809
1790,0.0001,2322.7314402744873,0.0001,4520.508667465368
1797,0.0001,2306.2046331009983,0.0001,4519.27926397722
1804,0.0001,2298.231449843966,0.0001,4520.048546980252
1811,0.0001,2296.6014185243644,0.0001,4520.230001881813
1818,0.0001,2294.7570423491884,0.0001,4521.029763034947
1825,0.0001,2296.7144691012454,0.0001,4523.141210067027
1832,0.0001,2295.1471271455225,0.0001,4525.598970103992
1839,0.0001,2318.165196058154,0.0001,4525.941329277512
1846,0.0001,2283.579663952471,0.0001,4525.697545417851
1853,0.0001,2304.2016996069356,0.0001,4526.006075663506
1860,0.0001,2279.7036480507613,0.0001,4524.325433114183
1867,0.0001,2303.6908621027956,0.0001,4525.041598473405
1874,0.0001,2282.594915086289,0.0001,4525.627966558109
1881,0.0001,2279.9307930835903,0.0001,4526.506348194384
1888,0.0001,2282.5860850403033,0.0001,4526.204467546982
1895,0.0001,2291.5257290131103,0.0001,4526.347945744727
1902,0.0001,2305.2574527602005,0.0001,4525.986243798997
1909,0.0001,2287.32128123075,0.0001,4526.721518648652
1916,0.0001,2288.7456098117314,0.0001,4526.348525486907
1923,0.0001,2340.1153899647566,0.0001,4527.164200090207
1930,0.0001,2321.447925726682,0.0001,4527.3230474947995
1937,0.0001,2315.334638139224,0.0001,4527.39923885522
1944,0.0001,2292.7196112699753,0.0001,4527.85255073461
1951,0.0001,2317.383788136095,0.0001,4526.756495872502
1958,0.0001,2288.7949659633978,0.0001,4526.528607539467
1965,0.0001,2286.516535427883,0.0001,4527.234715123429
1972,0.0001,2311.093801712681,0.0001,4527.516726001551
1979,0.0001,2320.5511412894725,0.0001,4527.1169660024725
1986,0.0001,2289.0928339524876,0.0001,4526.349580315699
1993,0.0001,2300.0052648033356,0.0001,4525.320351246748
2001,0.0001,2339.0545303678323,0.0001,4525.5135789721735
2008,0.0001,2337.7814306238465,0.0001,4525.998240282287
2015,0.0001,2321.405605067295,0.0001,4526.105274161736
2022,0.0001,2324.799764138833,0.0001,4526.824229888128
2029,0.0001,2336.273496881926,0.0001,4527.94585065762
2036,0.0001,2311.1755565576873,0.0001,4529.028020926072
2043,0.0001,2312.9450699479735,0.0001,4528.538897305254
2050,0.0001,2319.7979945362526,0.0001,4529.314061240853
2057,0.0001,2343.0937289611857,0.0001,4530.101389775955
2064,0.0001,2311.2572859621614,0.0001,4530.583210359549
2071,0.0001,2312.62411838236,0.0001,4531.619386198847
2078,0.0001,2313.0724093604827,0.0001,4532.241298023742
2085,0.0001,2309.498704185639,0.0001,4531.493456625782
2092,0.0001,2310.2251035151658,0.0001,4531.910002747001
2099,0.0001,2299.093403025967,0.0001,4532.293053201521
2106,0.0001,2305.0721027346804,0.0001,4530.97133135122
2113,0.0001,2357.0446877131126,0.0001,4531.433328986657
2120,0.0001,2333.0212237507126,0.0001,4530.873406144183
2127,0.0001,2304.324903665308,0.0001,4530.890231186403
2134,0.0001,2323.225742124766,0.0001,4529.909344324171
2141,0.0001,2348.510749428777,0.0001,4529.78261433242
2148,0.0001,2330.3844261167646,0.0001,4529.21401730076
2155,0.0001,2307.263612493698,0.0001,4528.3178432621135
2162,0.0001,2301.955747670967,0.0001,4528.638464951001
2169,0.0001,2313.2058124711184,0.0001,4529.380030782261
2176,0.0001,2279.6448510947575,0.0001,4531.380456491074
2183,0.0001,2321.4042257672922,0.0001,4530.615367703256
2190,0.0001,2301.627676940097,0.0001,4530.557563875357
2197,0.0001,2291.4863597571302,0.0001,4530.207710321538
2204,0.0001,2321.5551360386235,0.0001,4529.680310525198
